"","AMD.Close","GSPC.Close"
"2023-01-19",67.709999,3898.850098
"2023-01-20",70.07,3972.610107
"2023-01-23",76.529999,4019.810059
"2023-01-24",74.699997,4016.949951
"2023-01-25",74.910004,4016.219971
"2023-01-26",75.160004,4060.429932
"2023-01-27",75.400002,4070.560059
"2023-01-30",72.449997,4017.77002
"2023-01-31",75.150002,4076.600098
"2023-02-01",84.639999,4119.209961
"2023-02-02",88.309998,4179.759766
"2023-02-03",86.089996,4136.47998
"2023-02-06",83.68,4111.080078
"2023-02-07",85.910004,4164
"2023-02-08",84.690002,4117.859863
"2023-02-09",83.209999,4081.5
"2023-02-10",81.480003,4090.459961
"2023-02-13",83.129997,4137.290039
"2023-02-14",85.949997,4136.129883
"2023-02-15",85.18,4147.600098
"2023-02-16",80.080002,4090.409912
"2023-02-17",78.5,4079.090088
